"1","gTZFS","2","0.0","2025-03-08T15:19:44.932119+03:00[Europe/Moscow]","69.64946383313169","44","51","","ARISTOCRACY","VERY_HIGH","1"
"2","UOjHI","0","5.0","2025-03-08T15:19:44.944057+03:00[Europe/Moscow]","49.79402632748945","73","65","","STRATOCRACY","HIGH","55"
"3","TiKyY","0","11.0","2025-03-08T15:19:44.944603+03:00[Europe/Moscow]","32.66264737973069","58","31","","STRATOCRACY","VERY_HIGH","28"
"4","kCjXF","7","16.0","2025-03-08T15:19:44.945052+03:00[Europe/Moscow]","24.95677857955276","27","80","","STRATOCRACY","NIGHTMARE","17"
"5","FTFbS","14","1.0","2025-03-08T15:19:44.945462+03:00[Europe/Moscow]","87.85367375010455","61","82","","STRATOCRACY","NIGHTMARE","65"
"6","umXAY","10","3.0","2025-03-08T15:19:44.945912+03:00[Europe/Moscow]","9.094679755369217","54","62","","STRATOCRACY","HIGH","12"
"7","LhKgk","6","5.0","2025-03-08T15:19:44.946356+03:00[Europe/Moscow]","21.30248413689133","5","85","","TELLUROCRACY","VERY_HIGH","82"
"8","EtPLd","10","11.0","2025-03-08T15:19:44.946806+03:00[Europe/Moscow]","36.49911792764602","98","67","","TELLUROCRACY","HIGH","27"
"9","VFJVo","15","7.0","2025-03-08T15:19:44.947271+03:00[Europe/Moscow]","97.61205486581513","92","0","","TELLUROCRACY","HIGH","66"
"10","Vwect","6","4.0","2025-03-08T15:19:44.947731+03:00[Europe/Moscow]","21.7780309068463","49","50","","STRATOCRACY","VERY_HIGH","18"
"11","RaEaz","14","12.0","2025-03-08T15:19:44.948199+03:00[Europe/Moscow]","76.40906057759935","29","34","","STRATOCRACY","HIGH","91"
"12","AbxOZ","2","9.0","2025-03-08T15:19:44.948719+03:00[Europe/Moscow]","84.63584492545213","61","15","","STRATOCRACY","NIGHTMARE","11"
"13","doSiy","13","2.0","2025-03-08T15:19:44.949257+03:00[Europe/Moscow]","72.69113780103876","37","81","","ARISTOCRACY","HIGH","16"
"14","YMMxf","9","15.0","2025-03-08T15:19:44.949782+03:00[Europe/Moscow]","17.277789208636573","64","90","","ARISTOCRACY","HIGH","74"
"15","jROPX","17","7.0","2025-03-08T15:19:44.950300+03:00[Europe/Moscow]","18.659315715416557","10","74","","TELLUROCRACY","NIGHTMARE","29"
"16","uglUP","3","9.0","2025-03-08T15:19:44.950813+03:00[Europe/Moscow]","56.22752787143524","46","80","","ARISTOCRACY","HIGH","47"
"17","bpayJ","2","0.0","2025-03-08T15:19:44.951490+03:00[Europe/Moscow]","92.19367742521844","90","18","","TELLUROCRACY","HIGH","89"
"18","zCkFL","8","16.0","2025-03-08T15:19:44.952188+03:00[Europe/Moscow]","88.80408349870244","88","1","","TELLUROCRACY","NIGHTMARE","45"
"19","UilKz","14","13.0","2025-03-08T15:19:44.952793+03:00[Europe/Moscow]","31.524874319434705","45","44","","ARISTOCRACY","HIGH","73"
"20","YMZDN","17","16.0","2025-03-08T15:19:44.953364+03:00[Europe/Moscow]","89.83605758485508","92","72","","STRATOCRACY","HIGH","62"
"21","Vniit","7","15.0","2025-03-08T15:19:44.953897+03:00[Europe/Moscow]","56.92362928318102","52","24","","TELLUROCRACY","HIGH","67"
"22","iLBhL","1","2.0","2025-03-08T15:19:44.954330+03:00[Europe/Moscow]","46.39816981472198","87","80","","ARISTOCRACY","HIGH","17"
"23","jqFTh","3","8.0","2025-03-08T15:19:44.954762+03:00[Europe/Moscow]","68.37491660752417","82","19","","ARISTOCRACY","VERY_HIGH","72"
"24","RJfiX","10","2.0","2025-03-08T15:19:44.955242+03:00[Europe/Moscow]","87.4372035396011","58","19","","ARISTOCRACY","VERY_HIGH","25"
"25","vcGwc","11","13.0","2025-03-08T15:19:44.955705+03:00[Europe/Moscow]","83.22300799730613","4","57","","TELLUROCRACY","NIGHTMARE","66"
"26","UOmYs","15","14.0","2025-03-08T15:19:44.956248+03:00[Europe/Moscow]","91.11142165320405","91","13","","ARISTOCRACY","HIGH","5"
"27","rrlbz","13","15.0","2025-03-08T15:19:44.956665+03:00[Europe/Moscow]","19.66814878605414","84","85","","TELLUROCRACY","NIGHTMARE","18"
"28","dkCQK","2","14.0","2025-03-08T15:19:44.957099+03:00[Europe/Moscow]","95.49962295748357","95","19","","TELLUROCRACY","NIGHTMARE","71"
"29","AGOgI","5","17.0","2025-03-08T15:19:44.957556+03:00[Europe/Moscow]","20.76508112653673","25","86","","ARISTOCRACY","HIGH","5"
"30","GvDjg","14","1.0","2025-03-08T15:19:44.957949+03:00[Europe/Moscow]","88.04295196564246","41","26","","STRATOCRACY","VERY_HIGH","89"
"31","yiLPb","3","13.0","2025-03-08T15:19:44.958423+03:00[Europe/Moscow]","49.21828787060253","75","54","","STRATOCRACY","HIGH","37"
"32","BTxLp","9","9.0","2025-03-08T15:19:44.958873+03:00[Europe/Moscow]","95.66469168514907","15","33","","TELLUROCRACY","NIGHTMARE","69"
"33","iUzWa","7","10.0","2025-03-08T15:19:44.959314+03:00[Europe/Moscow]","65.78821077511846","63","81","","ARISTOCRACY","VERY_HIGH","19"
"34","Hkply","8","7.0","2025-03-08T15:19:44.959696+03:00[Europe/Moscow]","40.9702448428377","74","89","","ARISTOCRACY","VERY_HIGH","53"
